"customer_id","name","email","signup_date","city","state"
1,"Alice","alice@example.com","2023-01-15","New York","NY"
2,"ram","ram@example.com","2024-03-15","London ","UK"
3,"shyam","shyam@example.com","2025-06-15","new delhi","delhi"
4,"mohan","mohan@example.com","2022-05-15","agra","UP"
5,"rohan","rohan@example.com","2019-02-15","lucknow","UP"
6,"shashi","shashi@example.com","2023-01-15","agra","UP"
7,"tushal","tushal@example.com","2024-01-15","pune","maharashtra "
8,"reena","reena@example.com","2018-09-14","bhuvneshwer","odisha"
9,"seena","seena@example.com","2017-09-12","kalahandi","odisha"
10,"tina","tina@example.com","2022-08-16","sambalpur","odisha"
